space_id,name,zone,x,y,quiet,crowding,lighting,comfort,wifi,power,discussion,coding,reading,writing,group_work,exam_revision,open_late,food_allowed,cluster,pca_x,pca_y
S01,Library 4F,North,25.0,24.0,4.79,1.71,4.71,4.46,3.75,3.84,1.64,4.3,4.54,4.35,3.25,4.64,0,0,Deep Focus,-1.1671,-3.3018
S02,Library 2F,North,28.0,32.0,4.72,2.32,4.63,3.96,4.4,3.93,1.85,4.29,4.51,4.16,3.54,4.24,0,0,Deep Focus,-1.7021,-1.3801
S03,North Study Hall,North,16.0,16.0,3.48,2.9,4.05,3.8,4.72,4.72,3.0,4.32,3.72,3.96,3.83,3.37,0,0,Quick Work,-1.3089,1.4472
S04,Tech Hub,North,40.0,36.0,3.57,2.76,3.67,3.88,4.81,4.75,2.21,4.34,3.67,4.0,3.69,3.45,1,0,Quick Work,-1.7162,1.9588
S05,East Cafe,East,62.0,16.0,2.69,3.72,4.28,4.48,3.69,3.01,4.07,3.49,3.71,3.28,4.13,3.14,0,1,Social Study,2.5525,-1.3381
S06,Student Centre,East,84.0,28.0,1.83,3.21,4.05,4.16,4.6,4.22,4.7,3.68,3.26,3.38,4.59,2.85,1,1,Group Collaboration,1.0632,1.4694
S07,Innovation Lounge,East,70.0,36.0,2.04,3.44,4.04,4.19,4.28,4.04,4.98,3.61,3.52,3.33,4.34,2.81,1,1,Group Collaboration,1.5879,1.0053
S08,Commons Cafe,East,88.0,18.0,2.17,3.84,4.07,4.3,4.23,3.23,4.39,3.45,3.45,3.27,4.27,2.75,0,1,Social Study,2.2802,0.3316
S09,Silent Annex,West,18.0,58.0,4.33,1.72,4.61,3.95,4.19,4.56,1.5,4.32,4.28,4.21,3.09,4.31,0,0,Deep Focus,-2.3567,-1.4505
S10,Garden Room,West,34.0,66.0,4.94,1.52,4.62,4.27,4.13,3.8,1.62,4.35,4.59,4.37,3.37,4.61,0,0,Deep Focus,-1.7646,-2.54
S11,West Lounge,West,14.0,80.0,2.21,3.75,4.26,4.68,4.33,3.2,4.61,3.63,3.62,3.49,4.57,3.0,1,1,Social Study,2.6391,-0.3482
S12,Reading Room,West,38.0,84.0,4.88,1.94,4.09,3.92,4.39,4.43,2.16,4.4,4.43,4.43,3.48,4.22,0,0,Quick Work,-2.2559,-0.2317
S13,South Project Room,South,62.0,58.0,2.07,3.18,3.83,3.96,4.7,4.04,4.76,3.71,3.17,3.41,4.41,3.0,1,1,Group Collaboration,0.832,2.0781
S14,Residence Lounge,South,80.0,86.0,3.0,3.74,4.48,4.16,3.77,2.83,4.0,3.4,3.98,3.42,3.92,3.28,1,1,Social Study,2.1411,-1.398
S15,Late Lab,South,90.0,64.0,3.71,2.96,3.89,3.52,4.72,4.47,2.06,4.25,3.82,3.97,3.55,3.54,1,0,Quick Work,-1.8367,1.7275
S16,Commons Booths,South,58.0,74.0,3.68,3.37,3.96,3.58,4.91,4.72,2.83,4.15,3.87,3.92,3.66,3.4,1,1,Quick Work,-1.5323,2.2035
S17,Atrium Tables,South,72.0,70.0,2.45,3.59,4.61,3.99,3.85,3.28,4.09,3.39,3.58,3.09,3.9,2.84,0,1,Social Study,1.7613,-0.9758
S18,Seminar Hub,South,86.0,80.0,2.48,2.73,3.99,3.76,4.06,3.75,4.71,3.58,3.48,3.22,4.06,3.3,0,0,Group Collaboration,0.7833,0.7428
