data_type,profile_id,simulated_task,condition,task_completion,decision_time_s,decision_confidence,information_usefulness,why_understanding,mental_effort
synthetic_illustrative,P01,Coding,baseline_a,1,69.9,2.4,3.4,2.9,3.7
synthetic_illustrative,P01,Coding,campuspulse_b,1,38.4,4.1,4.4,4.7,2.8
synthetic_illustrative,P01,Group work,baseline_a,1,67.3,3.2,2.8,2.6,4.0
synthetic_illustrative,P01,Group work,campuspulse_b,1,25.0,4.0,4.7,4.3,2.5
synthetic_illustrative,P01,Exam revision,baseline_a,1,82.6,2.9,3.4,2.3,3.9
synthetic_illustrative,P01,Exam revision,campuspulse_b,1,46.8,4.5,4.8,4.1,2.8
synthetic_illustrative,P02,Coding,baseline_a,0,64.3,3.3,3.3,2.8,3.6
synthetic_illustrative,P02,Coding,campuspulse_b,1,47.6,4.4,4.7,5.0,2.3
synthetic_illustrative,P02,Group work,baseline_a,1,93.2,3.7,3.2,2.5,4.1
synthetic_illustrative,P02,Group work,campuspulse_b,1,35.8,4.1,4.6,4.9,2.4
synthetic_illustrative,P02,Exam revision,baseline_a,0,60.0,2.8,2.6,2.4,4.3
synthetic_illustrative,P02,Exam revision,campuspulse_b,1,38.1,3.8,4.6,3.8,2.4
synthetic_illustrative,P03,Coding,baseline_a,0,63.3,3.5,3.1,2.6,3.6
synthetic_illustrative,P03,Coding,campuspulse_b,1,34.6,4.7,4.3,4.4,2.8
synthetic_illustrative,P03,Group work,baseline_a,1,58.1,2.9,2.9,2.4,4.0
synthetic_illustrative,P03,Group work,campuspulse_b,1,20.3,3.6,4.1,4.4,3.3
synthetic_illustrative,P03,Exam revision,baseline_a,1,70.0,2.7,2.7,2.0,3.8
synthetic_illustrative,P03,Exam revision,campuspulse_b,1,33.1,4.7,4.6,4.4,2.8
synthetic_illustrative,P04,Coding,baseline_a,1,77.2,2.8,2.3,2.7,3.6
synthetic_illustrative,P04,Coding,campuspulse_b,1,49.3,3.8,4.7,4.7,2.8
synthetic_illustrative,P04,Group work,baseline_a,1,64.3,2.9,3.3,3.0,4.3
synthetic_illustrative,P04,Group work,campuspulse_b,1,49.0,4.1,4.2,3.7,2.2
synthetic_illustrative,P04,Exam revision,baseline_a,1,56.3,2.9,3.6,3.0,4.4
synthetic_illustrative,P04,Exam revision,campuspulse_b,1,16.3,4.7,4.1,4.4,2.7
synthetic_illustrative,P05,Coding,baseline_a,1,80.4,3.6,3.2,2.7,3.9
synthetic_illustrative,P05,Coding,campuspulse_b,1,34.1,4.2,4.2,4.7,2.1
synthetic_illustrative,P05,Group work,baseline_a,1,50.0,3.3,3.2,2.9,4.8
synthetic_illustrative,P05,Group work,campuspulse_b,1,28.5,5.0,4.2,4.7,2.9
synthetic_illustrative,P05,Exam revision,baseline_a,1,79.2,3.2,3.2,2.5,4.3
synthetic_illustrative,P05,Exam revision,campuspulse_b,1,21.8,4.7,4.4,4.4,3.3
synthetic_illustrative,P06,Coding,baseline_a,1,73.1,3.5,2.8,3.0,4.2
synthetic_illustrative,P06,Coding,campuspulse_b,1,34.4,2.9,4.7,4.4,2.5
synthetic_illustrative,P06,Group work,baseline_a,1,70.1,3.2,2.6,2.2,3.9
synthetic_illustrative,P06,Group work,campuspulse_b,1,37.1,4.3,4.6,4.4,2.7
synthetic_illustrative,P06,Exam revision,baseline_a,0,75.4,2.9,3.2,2.9,3.8
synthetic_illustrative,P06,Exam revision,campuspulse_b,1,39.0,4.5,4.2,4.4,2.6
synthetic_illustrative,P07,Coding,baseline_a,1,63.0,2.6,2.7,2.2,3.6
synthetic_illustrative,P07,Coding,campuspulse_b,1,31.7,4.3,4.4,4.1,2.3
synthetic_illustrative,P07,Group work,baseline_a,1,66.4,3.0,3.5,3.2,4.3
synthetic_illustrative,P07,Group work,campuspulse_b,1,26.3,4.4,4.7,4.6,3.3
synthetic_illustrative,P07,Exam revision,baseline_a,1,75.8,3.3,2.7,2.3,4.0
synthetic_illustrative,P07,Exam revision,campuspulse_b,1,25.4,4.2,4.6,4.7,2.6
synthetic_illustrative,P08,Coding,baseline_a,1,68.0,3.2,2.7,3.0,4.6
synthetic_illustrative,P08,Coding,campuspulse_b,1,24.4,4.2,4.0,3.8,2.8
synthetic_illustrative,P08,Group work,baseline_a,1,62.5,2.4,2.6,2.8,3.8
synthetic_illustrative,P08,Group work,campuspulse_b,1,48.2,4.1,4.6,4.4,2.4
synthetic_illustrative,P08,Exam revision,baseline_a,0,75.7,2.7,3.3,3.2,3.8
synthetic_illustrative,P08,Exam revision,campuspulse_b,1,24.7,5.0,4.8,4.5,2.6
synthetic_illustrative,P09,Coding,baseline_a,1,62.8,3.2,2.7,2.9,3.6
synthetic_illustrative,P09,Coding,campuspulse_b,1,35.0,4.3,5.0,4.7,2.7
synthetic_illustrative,P09,Group work,baseline_a,1,62.9,2.7,3.3,3.3,3.8
synthetic_illustrative,P09,Group work,campuspulse_b,1,35.1,3.6,4.3,4.0,2.5
synthetic_illustrative,P09,Exam revision,baseline_a,1,60.6,3.1,3.1,2.4,3.5
synthetic_illustrative,P09,Exam revision,campuspulse_b,1,43.0,4.0,4.3,4.4,2.7
synthetic_illustrative,P10,Coding,baseline_a,0,65.3,3.0,2.7,2.6,3.6
synthetic_illustrative,P10,Coding,campuspulse_b,1,31.9,4.4,4.6,4.0,2.2
synthetic_illustrative,P10,Group work,baseline_a,1,73.3,2.9,2.8,1.7,3.7
synthetic_illustrative,P10,Group work,campuspulse_b,1,39.6,4.4,4.4,4.3,2.9
synthetic_illustrative,P10,Exam revision,baseline_a,1,49.6,3.5,2.7,3.2,4.4
synthetic_illustrative,P10,Exam revision,campuspulse_b,1,43.2,4.9,4.2,4.5,2.7
synthetic_illustrative,P11,Coding,baseline_a,1,84.1,2.9,2.8,2.8,4.2
synthetic_illustrative,P11,Coding,campuspulse_b,1,31.2,4.4,4.1,4.1,2.3
synthetic_illustrative,P11,Group work,baseline_a,1,66.9,3.7,3.3,2.7,3.7
synthetic_illustrative,P11,Group work,campuspulse_b,1,39.4,4.5,4.9,4.0,1.8
synthetic_illustrative,P11,Exam revision,baseline_a,1,68.6,3.2,2.8,2.6,4.0
synthetic_illustrative,P11,Exam revision,campuspulse_b,1,46.6,3.4,4.0,4.9,2.8
synthetic_illustrative,P12,Coding,baseline_a,1,65.7,2.9,3.1,2.4,3.3
synthetic_illustrative,P12,Coding,campuspulse_b,1,36.9,4.4,5.0,4.5,2.8
synthetic_illustrative,P12,Group work,baseline_a,1,61.8,2.8,2.8,2.7,4.5
synthetic_illustrative,P12,Group work,campuspulse_b,1,46.5,4.0,4.6,4.6,2.8
synthetic_illustrative,P12,Exam revision,baseline_a,1,62.5,3.6,3.3,2.5,4.0
synthetic_illustrative,P12,Exam revision,campuspulse_b,1,36.8,3.8,4.7,5.0,3.1
